ATPのエネルギーを使って，H＋ を細胞膜の外にくみ出すタンパク質。,プロトンポンプ,,生物
植物ホルモンの一種で，植物の細胞分裂を促進する一群の活性物質の総称。,サイトカイニン,,生物
葉，枝，花，果実が古くなって脱落するとき，あらかじめその基部にできる細胞層。,離層,,生物
高等植物の花や果実に赤，紫，青などの色を与える色素。,アントシアニン,,生物
植物細胞に含まれる色素たんぱく質で、環境の光条件を感知して、発生・分化から膜機能の微細な過程に至るまでの様々な生理機能を制御する。赤色光に強く反応する。,フィトクロム,,生物
発芽の過程に光を必要とする種子。タバコ、イチジクなどの種子はその例。,光発芽種子,,生物
古代エジプトの太陽神信仰に基づく記念碑。花崗岩の細長い四角柱で，尖端がピラミッド形にとがっている。,オベリスク,,神話
古代エジプト宗教の最高の女神。天神ヌトと地の神ゲブの娘で兄オシリスの妻となってホルスを生む。弟セトの陰謀により夫が殺され王位を奪われると，彼女は夫の遺体を見つけ出して集めこれを蘇生させ，デルタの沼地でこっそりホルスを育てた。ホルスは成長して父の仇を討ち，オシリスはよみがえって地下界の王となった。,イシス,,神話
古代エジプトの神。『死者の書』ではイプ・ウワト（道を開く者）とよばれ、死者をオシリスの前に導くものとみなされる。,アヌビス,,神話
ギリシア神話の詩と音楽の女神。musicやmuseumの語源。,ミューズ,,神話
日本神話で、天津神たちの命を受け、イザナミノミコトと共におのごろ島をつくって天降り、国生みと神生みを行った男神。,伊弉諾尊（イザナギノミコト）,,神話
日本神話の火の神。伊弉冉(いざなみ)尊はこの神を産んで焼死。,軻遇突智（カグツチ）,,神話
日本神話における死者の国。カグツチを産んで死んだイザナミの元を訪問するイザナギの神話がよく知られる。,黄泉国,,神話
日本神話中の最高神。イザナギノミコトの子で、瓊瓊杵(ににぎ)尊に神勅と三種の神器を授けて，葦原中国(あしはらのなかつくに)を治めさせた。弟の素戔嗚尊の乱暴に怒り、天岩戸に身を隠した神話が有名。,天照大神,,神話
日本神話で、天照大神あまてらすおおみかみをはじめ多くの神々が住んでいたとされる天上の世界。「根の国」「底つ国」に対する世界で、それらの中間に「葦原あしはらの中つ国」「顕国うつしくに」があるとされた。,高天原,,神話
日本神話に登場する月の神。伊奘諾（イザナギ）尊の子で、天照大神の次、素戔嗚尊の前に生まれた。《日本書紀》では保食(うけもち)神を殺したため天照大神の怒りにふれ，１日１夜を隔てて住むことになったという。,月読尊,,神話
日本神話で、伊弉諾(いざなぎ)・伊弉冉(いざなみ)二神の間に最初に生まれた手足の萎えた子。,蛭児,,神話
日本神話で、伊弉諾(いざなぎ)尊・伊弉冉(いざなみ)尊の間に生まれた男神。姉の天照大神に会いに行った高天原でさまざまな乱行を重ね、天照大神は天岩戸に隠れ、全世界が暗黒となった。この罪により尊は神々に追放され、根国に赴くが、途中の出雲国では八岐大蛇(やまたのおろち)を退治して奇稲田（クシナダ）姫と結婚、大蛇の尾から得た草薙剣を天照大神にささげ根国の支配者となる。そののちは大国主命(おおくにぬしのみこと)を迎えてこれに試練を課し、最後には娘を与え、さらに聖器を授けて大国主命に葦原中国(あしわらのなかつくに)の統治者となることを命じた。,素戔嗚尊（スサノオノミコト）,,神話
日本神話の神。素戔嗚の子孫で、少名毘古那神(すくなびこなのかみ)の協力を得て国造りにあたった。民間では大黒天と結びついた福の神として信仰されており、因幡の白兎の話も有名。,大国主命（オオクニヌシノミコト）,,神話
日本神話の神。天照大神が天の岩屋戸に隠れたとき，半裸で舞って諸神を笑わせ，それによって大神を誘い出した。古代の祭りで巫女の役をした猿女の祖先とされる。,天鈿女命（アメノウズメノミコト）,,神話
日本神話において、天照大神の孫の天孫として、三種の神器を携えて高天原から日向に降り、皇室の祖先になったとされている神。木花開耶姫(このはなさくやひめ)を妻にして、火照命（海幸）、彦火火出見尊(山幸)らを生ませたが、いっしょに奉られた姉の磐長姫は醜かったので嫌って妻にしなかった。それで姉妹の父大山祇神が憤慨して呪いをかけ、代々の天皇の寿命が岩のように永久ではなく、花のように短くなるようにしたのだという。,瓊瓊杵尊（ニニギノミコト）,,神話
日本神話の一つ。兄に借りた釣り針をを無くして責められた弟が報復した話。天孫族が隼人族を屈服させたことを神話化したとみられる。,海幸山幸,,神話
日本神話の神。彦火火出見尊（山幸彦）の妻となり、神武天皇の母となる鸕鷀草葺不合尊（うがやふきあえずのみこと）を生む。,豊玉姫（とよたまひめ）,,神話
日照時間の長短によらず花をつける植物。園芸植物では四季咲き、二季咲きのものに見られ、タンポポ、トマト、キュウリなどが知られる。,中性植物,,生物
日照時間が長くなると花をつける植物。暗期が一定時間以下になると花芽を形成する。ホウレンソウ・アブラナ・小麦など、春から夏にかけて花の咲く植物に多い。,長日植物,,生物
